Date,Open,High,Low,Close,Volume,OpenInt
19710104,4.4723,4.4723,4.4723,4.4723,0,0
19710105,4.4763,4.4763,4.4763,4.4763,0,0
19710106,4.4783,4.4783,4.4783,4.4783,0,0
19710107,4.4763,4.4763,4.4763,4.4763,0,0
19710108,4.4783,4.4783,4.4783,4.4783,0,0
19710111,4.4803,4.4803,4.4803,4.4803,0,0
19710112,4.4823,4.4823,4.4823,4.4823,0,0
19710113,4.4843,4.4843,4.4843,4.4843,0,0
19710114,4.4924,4.4924,4.4924,4.4924,0,0
19710115,4.4883,4.4883,4.4883,4.4883,0,0
19710118,4.4843,4.4843,4.4843,4.4843,0,0
19710119,4.4903,4.4903,4.4903,4.4903,0,0
19710120,4.4863,4.4863,4.4863,4.4863,0,0
19710121,4.4863,4.4863,4.4863,4.4863,0,0
19710122,4.4883,4.4883,4.4883,4.4883,0,0
19710125,4.4944,4.4944,4.4944,4.4944,0,0
19710126,4.4984,4.4984,4.4984,4.4984,0,0
19710127,4.4964,4.4964,4.4964,4.4964,0,0
19710128,4.4984,4.4984,4.4984,4.4984,0,0
19710129,4.5005,4.5005,4.5005,4.5005,0,0
19710201,4.5045,4.5045,4.5045,4.5045,0,0
19710202,4.5025,4.5025,4.5025,4.5025,0,0
19710203,4.5025,4.5025,4.5025,4.5025,0,0
19710204,4.4984,4.4984,4.4984,4.4984,0,0
19710205,4.4964,4.4964,4.4964,4.4964,0,0
19710208,4.5025,4.5025,4.5025,4.5025,0,0
19710209,4.4944,4.4944,4.4944,4.4944,0,0
19710210,4.4984,4.4984,4.4984,4.4984,0,0
19710211,4.5005,4.5005,4.5005,4.5005,0,0
19710216,4.5045,4.5045,4.5045,4.5045,0,0
19710217,4.5025,4.5025,4.5025,4.5025,0,0
19710218,4.5025,4.5025,4.5025,4.5025,0,0
19710219,4.5025,4.5025,4.5025,4.5025,0,0
19710222,4.5025,4.5025,4.5025,4.5025,0,0
19710223,4.5025,4.5025,4.5025,4.5025,0,0
19710224,4.5025,4.5025,4.5025,4.5025,0,0
19710225,4.5025,4.5025,4.5025,4.5025,0,0
19710226,4.5045,4.5045,4.5045,4.5045,0,0
19710301,4.5005,4.5005,4.5005,4.5005,0,0
19710302,4.5045,4.5045,4.5045,4.5045,0,0
19710303,4.5025,4.5025,4.5025,4.5025,0,0
19710304,4.5025,4.5025,4.5025,4.5025,0,0
19710305,4.5045,4.5045,4.5045,4.5045,0,0
19710308,4.5045,4.5045,4.5045,4.5045,0,0
19710309,4.5025,4.5025,4.5025,4.5025,0,0
19710310,4.5045,4.5045,4.5045,4.5045,0,0
19710311,4.5045,4.5045,4.5045,4.5045,0,0
19710312,4.5086,4.5086,4.5086,4.5086,0,0
19710315,4.5086,4.5086,4.5086,4.5086,0,0
19710316,4.5045,4.5045,4.5045,4.5045,0,0
19710317,4.5045,4.5045,4.5045,4.5045,0,0
19710318,4.5045,4.5045,4.5045,4.5045,0,0
19710319,4.5045,4.5045,4.5045,4.5045,0,0
19710322,4.5045,4.5045,4.5045,4.5045,0,0
19710323,4.5045,4.5045,4.5045,4.5045,0,0
19710324,4.5045,4.5045,4.5045,4.5045,0,0
19710325,4.5045,4.5045,4.5045,4.5045,0,0
19710326,4.5045,4.5045,4.5045,4.5045,0,0
19710329,4.5045,4.5045,4.5045,4.5045,0,0
19710330,4.5005,4.5005,4.5005,4.5005,0,0
19710331,4.4984,4.4984,4.4984,4.4984,0,0
19710401,4.4944,4.4944,4.4944,4.4944,0,0
19710402,4.4903,4.4903,4.4903,4.4903,0,0
19710405,4.4984,4.4984,4.4984,4.4984,0,0
19710406,4.5025,4.5025,4.5025,4.5025,0,0
19710407,4.5005,4.5005,4.5005,4.5005,0,0
19710408,4.5005,4.5005,4.5005,4.5005,0,0
19710409,4.5005,4.5005,4.5005,4.5005,0,0
19710412,4.5025,4.5025,4.5025,4.5025,0,0
19710413,4.5045,4.5045,4.5045,4.5045,0,0
19710414,4.5065,4.5065,4.5065,4.5065,0,0
19710415,4.5065,4.5065,4.5065,4.5065,0,0
19710416,4.5086,4.5086,4.5086,4.5086,0,0
19710419,4.5188,4.5188,4.5188,4.5188,0,0
19710420,4.5147,4.5147,4.5147,4.5147,0,0
19710421,4.5106,4.5106,4.5106,4.5106,0,0
19710422,4.5106,4.5106,4.5106,4.5106,0,0
19710423,4.5126,4.5126,4.5126,4.5126,0,0
19710426,4.5106,4.5106,4.5106,4.5106,0,0
19710427,4.5086,4.5086,4.5086,4.5086,0,0
19710428,4.5045,4.5045,4.5045,4.5045,0,0
19710429,4.5065,4.5065,4.5065,4.5065,0,0
19710430,4.5065,4.5065,4.5065,4.5065,0,0
19710503,4.5025,4.5025,4.5025,4.5025,0,0
19710504,4.5005,4.5005,4.5005,4.5005,0,0
19710505,4.4405,4.4405,4.4405,4.4405,0,0
19710506,4.4425,4.4425,4.4425,4.4425,0,0
19710507,4.4267,4.4267,4.4267,4.4267,0,0
19710510,4.386,4.386,4.386,4.386,0,0
19710511,4.4248,4.4248,4.4248,4.4248,0,0
19710512,4.415,4.415,4.415,4.415,0,0
19710513,4.3956,4.3956,4.3956,4.3956,0,0
19710514,4.3995,4.3995,4.3995,4.3995,0,0
19710517,4.3995,4.3995,4.3995,4.3995,0,0
19710518,4.3995,4.3995,4.3995,4.3995,0,0
19710519,4.3802,4.3802,4.3802,4.3802,0,0
19710520,4.3516,4.3516,4.3516,4.3516,0,0
19710521,4.3422,4.3422,4.3422,4.3422,0,0
19710524,4.3516,4.3516,4.3516,4.3516,0,0
19710525,4.3879,4.3879,4.3879,4.3879,0,0
19710526,4.3995,4.3995,4.3995,4.3995,0,0
19710527,4.3975,4.3975,4.3975,4.3975,0,0
19710528,4.3995,4.3995,4.3995,4.3995,0,0
19710601,4.4209,4.4209,4.4209,4.4209,0,0
19710602,4.3995,4.3995,4.3995,4.3995,0,0
19710603,4.3745,4.3745,4.3745,4.3745,0,0
19710604,4.3725,4.3725,4.3725,4.3725,0,0
19710607,4.3706,4.3706,4.3706,4.3706,0,0
19710608,4.363,4.363,4.363,4.363,0,0
19710609,4.3554,4.3554,4.3554,4.3554,0,0
19710610,4.3554,4.3554,4.3554,4.3554,0,0
19710611,4.3516,4.3516,4.3516,4.3516,0,0
19710614,4.3497,4.3497,4.3497,4.3497,0,0
19710615,4.3497,4.3497,4.3497,4.3497,0,0
19710616,4.3478,4.3478,4.3478,4.3478,0,0
19710617,4.3459,4.3459,4.3459,4.3459,0,0
19710618,4.3459,4.3459,4.3459,4.3459,0,0
19710621,4.3459,4.3459,4.3459,4.3459,0,0
19710622,4.344,4.344,4.344,4.344,0,0
19710623,4.3346,4.3346,4.3346,4.3346,0,0
19710624,4.3384,4.3384,4.3384,4.3384,0,0
19710625,4.3422,4.3422,4.3422,4.3422,0,0
19710628,4.344,4.344,4.344,4.344,0,0
19710629,4.3403,4.3403,4.3403,4.3403,0,0
19710630,4.3384,4.3384,4.3384,4.3384,0,0
19710701,4.3403,4.3403,4.3403,4.3403,0,0
19710702,4.3422,4.3422,4.3422,4.3422,0,0
19710706,4.3403,4.3403,4.3403,4.3403,0,0
19710707,4.3403,4.3403,4.3403,4.3403,0,0
19710708,4.3403,4.3403,4.3403,4.3403,0,0
19710709,4.3403,4.3403,4.3403,4.3403,0,0
19710712,4.3403,4.3403,4.3403,4.3403,0,0
19710713,4.3384,4.3384,4.3384,4.3384,0,0
19710714,4.3271,4.3271,4.3271,4.3271,0,0
19710715,4.3197,4.3197,4.3197,4.3197,0,0
19710716,4.3085,4.3085,4.3085,4.3085,0,0
19710719,4.3066,4.3066,4.3066,4.3066,0,0
19710720,4.3085,4.3085,4.3085,4.3085,0,0
19710721,4.3029,4.3029,4.3029,4.3029,0,0
19710722,4.2974,4.2974,4.2974,4.2974,0,0
19710723,4.2974,4.2974,4.2974,4.2974,0,0
19710726,4.2937,4.2937,4.2937,4.2937,0,0
19710727,4.29,4.29,4.29,4.29,0,0
19710728,4.2955,4.2955,4.2955,4.2955,0,0
19710729,4.29,4.29,4.29,4.29,0,0
19710730,4.29,4.29,4.29,4.29,0,0
19710802,4.29,4.29,4.29,4.29,0,0
